Vehicle_ID,Highway_ID,Speed_KMH,Timestamp
CAR_3682,Autobahn_1,20,2026-04-11 18:55:32
CAR_5711,Pacific_Coast,96,2026-04-11 18:55:33
CAR_4976,Route_66,114,2026-04-11 18:55:34
CAR_7009,Pacific_Coast,120,2026-04-11 18:55:34
CAR_7586,I-95,77,2026-04-11 18:55:35
CAR_5598,Pacific_Coast,119,2026-04-11 18:55:37
CAR_4155,Pacific_Coast,91,2026-04-11 18:55:37
CAR_2068,Pacific_Coast,118,2026-04-11 18:55:38
CAR_7446,Autobahn_1,99,2026-04-11 18:55:40
CAR_9861,Route_66,107,2026-04-11 18:55:41
CAR_6704,Route_66,120,2026-04-11 18:55:41
CAR_3649,Route_66,89,2026-04-11 18:55:43
CAR_3044,Pacific_Coast,113,2026-04-11 18:55:43
CAR_8756,Route_66,114,2026-04-11 18:55:44
CAR_3825,Autobahn_1,30,2026-04-11 18:55:45
CAR_5030,Route_66,109,2026-04-11 18:55:45
CAR_3246,Autobahn_1,87,2026-04-11 18:55:45
CAR_8451,I-95,14,2026-04-11 18:55:46
CAR_5206,I-95,103,2026-04-11 18:55:46
CAR_3058,I-95,76,2026-04-11 18:55:47
CAR_4997,Autobahn_1,71,2026-04-11 18:55:47
CAR_3578,Pacific_Coast,68,2026-04-11 18:55:48
CAR_4140,I-95,22,2026-04-11 18:55:48
CAR_7375,Route_66,102,2026-04-11 18:55:49
CAR_4855,Pacific_Coast,65,2026-04-11 18:55:49
CAR_1374,Pacific_Coast,100,2026-04-11 18:55:50
CAR_1088,I-95,14,2026-04-11 18:55:51
CAR_9883,Autobahn_1,22,2026-04-11 18:55:52
CAR_5365,Route_66,77,2026-04-11 18:55:53
CAR_8437,Route_66,119,2026-04-11 18:55:53
CAR_2109,I-95,107,2026-04-11 18:55:54
CAR_7717,I-95,68,2026-04-11 18:55:55
CAR_2423,Pacific_Coast,95,2026-04-11 18:55:55
CAR_6436,Autobahn_1,23,2026-04-11 18:55:56
CAR_4950,Pacific_Coast,75,2026-04-11 18:55:57
CAR_7963,Pacific_Coast,15,2026-04-11 18:55:58
CAR_5057,I-95,77,2026-04-11 18:55:58
CAR_3794,Route_66,62,2026-04-11 18:55:59
CAR_3529,I-95,18,2026-04-11 18:56:00
CAR_5146,Pacific_Coast,118,2026-04-11 18:56:01
CAR_3370,Route_66,63,2026-04-11 18:56:02
CAR_8730,Pacific_Coast,117,2026-04-11 18:56:03
CAR_7790,I-95,76,2026-04-11 18:56:03
CAR_9060,Autobahn_1,20,2026-04-11 18:56:04
CAR_6797,Route_66,15,2026-04-11 18:56:04
CAR_1305,Autobahn_1,27,2026-04-11 18:56:05
CAR_2422,I-95,75,2026-04-11 18:56:05
CAR_9259,Pacific_Coast,22,2026-04-11 18:56:05
CAR_1623,Autobahn_1,73,2026-04-11 18:56:07
CAR_6014,Autobahn_1,90,2026-04-11 18:56:07
CAR_8556,Pacific_Coast,116,2026-04-11 18:56:08
CAR_2877,I-95,18,2026-04-11 18:56:09
CAR_7904,Route_66,60,2026-04-11 18:56:09
CAR_3392,Pacific_Coast,81,2026-04-11 18:56:10
CAR_8857,Route_66,69,2026-04-11 18:56:10
CAR_1098,I-95,20,2026-04-11 18:56:11
CAR_6832,Autobahn_1,77,2026-04-11 18:56:13
CAR_3905,I-95,90,2026-04-11 18:56:14
CAR_6724,Route_66,111,2026-04-11 18:56:15
CAR_1843,Pacific_Coast,66,2026-04-11 18:56:16
CAR_7726,Pacific_Coast,118,2026-04-11 18:56:17
CAR_1387,I-95,108,2026-04-11 18:56:17
CAR_6757,Route_66,78,2026-04-11 18:56:17
CAR_8847,I-95,66,2026-04-11 18:56:18
CAR_3123,I-95,81,2026-04-11 18:56:19
CAR_4057,Autobahn_1,61,2026-04-11 18:56:20
CAR_6537,Autobahn_1,82,2026-04-11 18:56:20
CAR_5242,Route_66,112,2026-04-11 18:56:22
CAR_3705,I-95,11,2026-04-11 18:56:22
CAR_1944,Pacific_Coast,105,2026-04-11 18:56:23
CAR_7410,Route_66,89,2026-04-11 18:56:23
CAR_2708,I-95,91,2026-04-11 18:56:24
CAR_7532,I-95,98,2026-04-11 18:56:25
CAR_7122,Autobahn_1,80,2026-04-11 18:56:26
CAR_6229,Autobahn_1,12,2026-04-11 18:56:27
CAR_2468,Route_66,75,2026-04-11 18:56:28
CAR_6017,I-95,105,2026-04-11 18:56:29
CAR_4102,Route_66,94,2026-04-11 18:56:30
CAR_7453,Autobahn_1,101,2026-04-11 18:56:31
CAR_5677,Autobahn_1,112,2026-04-11 18:56:31
CAR_9733,I-95,15,2026-04-11 18:56:32
CAR_3726,Autobahn_1,83,2026-04-11 18:56:33
CAR_3064,I-95,109,2026-04-11 18:56:33
CAR_8898,Pacific_Coast,102,2026-04-11 18:56:33
CAR_7333,Pacific_Coast,118,2026-04-11 18:56:34
CAR_7351,Pacific_Coast,86,2026-04-11 18:56:35
CAR_6585,Autobahn_1,111,2026-04-11 18:56:35
CAR_8625,Autobahn_1,24,2026-04-11 18:56:36
CAR_2505,Route_66,109,2026-04-11 18:56:36
CAR_4847,Pacific_Coast,70,2026-04-11 18:56:36
CAR_8190,Route_66,114,2026-04-11 18:56:37
CAR_4324,Autobahn_1,106,2026-04-11 18:56:37
CAR_4231,I-95,20,2026-04-11 18:56:38
CAR_2985,Autobahn_1,75,2026-04-11 18:56:39
CAR_9864,I-95,87,2026-04-11 18:56:40
CAR_8933,I-95,20,2026-04-11 18:56:40
CAR_7315,Autobahn_1,12,2026-04-11 18:56:41
CAR_8906,Autobahn_1,14,2026-04-11 18:56:42
CAR_2389,Pacific_Coast,114,2026-04-11 18:56:43
CAR_5597,Pacific_Coast,92,2026-04-11 18:56:44
CAR_1030,I-95,97,2026-04-11 18:56:45
CAR_5062,I-95,21,2026-04-11 18:56:46
CAR_4418,I-95,74,2026-04-11 18:56:47
CAR_4381,I-95,94,2026-04-11 18:56:48
CAR_5438,I-95,69,2026-04-11 18:56:49
CAR_2814,Route_66,108,2026-04-11 18:56:49
CAR_5198,I-95,76,2026-04-11 18:56:49
CAR_2159,Route_66,70,2026-04-11 18:56:50
CAR_8072,I-95,28,2026-04-11 18:56:50
CAR_2156,Pacific_Coast,75,2026-04-11 18:56:51
CAR_7335,Pacific_Coast,88,2026-04-11 18:56:52
CAR_8751,Pacific_Coast,87,2026-04-11 18:56:53
CAR_2220,Autobahn_1,60,2026-04-11 18:56:55
CAR_6985,Pacific_Coast,72,2026-04-11 18:56:55
CAR_6952,Autobahn_1,81,2026-04-11 18:56:56
CAR_4495,I-95,70,2026-04-11 18:56:57
CAR_4568,Route_66,113,2026-04-11 18:56:58
CAR_8544,Route_66,112,2026-04-11 18:56:59
CAR_3143,Autobahn_1,14,2026-04-11 18:56:59
CAR_4332,I-95,114,2026-04-11 18:57:00
CAR_3730,Pacific_Coast,91,2026-04-11 18:57:01
CAR_6417,I-95,82,2026-04-11 18:57:01
CAR_8752,Route_66,79,2026-04-11 18:57:02
CAR_7516,Autobahn_1,112,2026-04-11 18:57:03
CAR_6556,Route_66,104,2026-04-11 18:57:04
CAR_9431,Pacific_Coast,67,2026-04-11 18:57:05
CAR_5653,I-95,88,2026-04-11 18:57:05
CAR_6388,Autobahn_1,91,2026-04-11 18:57:06
CAR_1588,Pacific_Coast,30,2026-04-11 18:57:07
CAR_5722,Pacific_Coast,120,2026-04-11 18:57:07
CAR_8181,Pacific_Coast,20,2026-04-11 18:57:08
CAR_4751,Autobahn_1,87,2026-04-11 18:57:09
CAR_3074,Pacific_Coast,86,2026-04-11 18:57:10
CAR_4623,I-95,63,2026-04-11 18:57:10
CAR_6108,Route_66,92,2026-04-11 18:57:12
CAR_6717,Pacific_Coast,25,2026-04-11 18:57:13
CAR_9882,I-95,27,2026-04-11 18:57:14
CAR_3989,I-95,74,2026-04-11 18:57:15
CAR_7113,I-95,72,2026-04-11 18:57:16
CAR_8362,I-95,66,2026-04-11 18:57:17
CAR_5137,Autobahn_1,103,2026-04-11 18:57:18
CAR_9893,Pacific_Coast,79,2026-04-11 18:57:18
CAR_3377,I-95,88,2026-04-11 18:57:19
CAR_4234,Autobahn_1,105,2026-04-11 18:57:20
CAR_8454,I-95,86,2026-04-11 18:57:21
CAR_9070,Route_66,15,2026-04-11 18:57:22
CAR_8686,I-95,101,2026-04-11 18:57:23
CAR_1598,Pacific_Coast,15,2026-04-11 18:57:24
CAR_1270,Pacific_Coast,23,2026-04-11 18:57:24
CAR_9391,I-95,110,2026-04-11 18:57:25
CAR_3151,I-95,115,2026-04-11 18:57:25
CAR_7063,Autobahn_1,82,2026-04-11 18:57:26
CAR_5027,Pacific_Coast,21,2026-04-11 18:57:28
CAR_3922,Autobahn_1,73,2026-04-11 18:57:28
CAR_6850,Pacific_Coast,102,2026-04-11 18:57:29
CAR_8584,I-95,99,2026-04-11 18:57:29
CAR_1101,I-95,27,2026-04-11 18:57:31
CAR_7873,I-95,61,2026-04-11 18:57:32
CAR_2015,Pacific_Coast,71,2026-04-11 18:57:32
CAR_4069,Route_66,78,2026-04-11 18:57:34
CAR_3090,Pacific_Coast,15,2026-04-11 18:57:34
CAR_5158,Route_66,19,2026-04-11 18:57:35
CAR_3269,I-95,120,2026-04-11 18:57:36
CAR_1871,Route_66,71,2026-04-11 18:57:38
CAR_3149,I-95,111,2026-04-11 18:57:39
CAR_7598,Pacific_Coast,69,2026-04-11 18:57:40
CAR_6651,I-95,98,2026-04-11 18:57:41
CAR_7952,Pacific_Coast,108,2026-04-11 18:57:42
CAR_9600,I-95,99,2026-04-11 18:57:43
CAR_2598,Autobahn_1,60,2026-04-11 18:57:43
CAR_9289,I-95,75,2026-04-11 18:57:44
CAR_3605,Pacific_Coast,74,2026-04-11 18:57:45
CAR_2786,Autobahn_1,11,2026-04-11 18:57:46
CAR_8983,I-95,110,2026-04-11 18:57:47
CAR_2328,Autobahn_1,71,2026-04-11 18:57:47
CAR_2390,Route_66,15,2026-04-11 18:57:48
CAR_8139,I-95,100,2026-04-11 18:57:48
CAR_6016,Pacific_Coast,86,2026-04-11 18:57:49
CAR_6107,Autobahn_1,108,2026-04-11 18:57:50
